127.0.0.1 - - [25/Oct/2015:21:41:22 +0800] "GET /MRTFAREPROJECT/dist/assets/assets/css/datepicker.css HTTP/1.1" 404 1098
127.0.0.1 - - [25/Oct/2015:21:41:22 +0800] "GET /MRTFAREPROJECT/dist/assets/assets/js/min/bootstrap.min.js HTTP/1.1" 404 1108
127.0.0.1 - - [25/Oct/2015:21:41:22 +0800] "GET /MRTFAREPROJECT/dist/assets/assets/js/bootmetro-panorama.js HTTP/1.1" 404 1110
127.0.0.1 - - [25/Oct/2015:21:41:22 +0800] "GET /MRTFAREPROJECT/dist/assets/assets/js/modernizr-2.6.2.min.js HTTP/1.1" 404 1112
127.0.0.1 - - [25/Oct/2015:21:41:22 +0800] "GET /MRTFAREPROJECT/dist/assets/assets/js/bootmetro-pivot.js HTTP/1.1" 404 1104
127.0.0.1 - - [25/Oct/2015:21:41:22 +0800] "GET /MRTFAREPROJECT/dist/assets/assets/js/bootmetro-charms.js HTTP/1.1" 404 1106
127.0.0.1 - - [25/Oct/2015:21:41:22 +0800] "GET /MRTFAREPROJECT/dist/assets/assets/js/bootstrap-datepicker.js HTTP/1.1" 404 1114
127.0.0.1 - - [25/Oct/2015:21:41:22 +0800] "GET /MRTFAREPROJECT/dist/assets/assets/js/jquery.mousewheel.min.js HTTP/1.1" 404 1116
127.0.0.1 - - [25/Oct/2015:21:41:22 +0800] "GET /MRTFAREPROJECT/dist/assets/assets/js/jquery.touchSwipe.min.js HTTP/1.1" 404 1116
127.0.0.1 - - [25/Oct/2015:21:41:22 +0800] "GET /MRTFAREPROJECT/dist/assets/assets/js/holder.js HTTP/1.1" 404 1086
127.0.0.1 - - [25/Oct/2015:21:41:22 +0800] "GET /MRTFAREPROJECT/dist/assets/assets/js/demo.js HTTP/1.1" 404 1082
127.0.0.1 - - [25/Oct/2015:21:41:59 +0800] "GET /MRTFAREPROJECT/dist/demo/wizard.html HTTP/1.1" 200 10036
127.0.0.1 - - [25/Oct/2015:21:42:00 +0800] "GET /MRTFAREPROJECT/dist/demo/assets/css/bootmetro.css HTTP/1.1" 404 1092
127.0.0.1 - - [25/Oct/2015:21:42:00 +0800] "GET /MRTFAREPROJECT/dist/demo/assets/css/bootmetro-responsive.css HTTP/1.1" 404 1114
127.0.0.1 - - [25/Oct/2015:21:42:00 +0800] "GET /MRTFAREPROJECT/dist/demo/assets/css/bootmetro-icons.css HTTP/1.1" 404 1104
127.0.0.1 - - [25/Oct/2015:21:42:00 +0800] "GET /MRTFAREPROJECT/dist/demo/assets/css/bootmetro-ui-light.css HTTP/1.1" 404 1110
127.0.0.1 - - [25/Oct/2015:21:42:00 +0800] "GET /MRTFAREPROJECT/dist/demo/assets/css/datepicker.css HTTP/1.1" 404 1094
127.0.0.1 - - [25/Oct/2015:21:42:00 +0800] "GET /MRTFAREPROJECT/dist/demo/assets/css/demo.css HTTP/1.1" 404 1082
127.0.0.1 - - [25/Oct/2015:21:42:00 +0800] "GET /MRTFAREPROJECT/dist/demo/assets/js/modernizr-2.6.2.min.js HTTP/1.1" 404 1108
127.0.0.1 - - [25/Oct/2015:21:42:00 +0800] "GET /MRTFAREPROJECT/dist/demo/assets/js/bootmetro-pivot.js HTTP/1.1" 404 1100
127.0.0.1 - - [25/Oct/2015:21:42:00 +0800] "GET /MRTFAREPROJECT/dist/demo/assets/js/min/bootstrap.min.js HTTP/1.1" 404 1104
127.0.0.1 - - [25/Oct/2015:21:42:00 +0800] "GET /MRTFAREPROJECT/dist/demo/assets/js/bootmetro-panorama.js HTTP/1.1" 404 1106
127.0.0.1 - - [25/Oct/2015:21:42:00 +0800] "GET /MRTFAREPROJECT/dist/demo/assets/js/bootmetro-charms.js HTTP/1.1" 404 1102
127.0.0.1 - - [25/Oct/2015:21:42:00 +0800] "GET /MRTFAREPROJECT/dist/demo/assets/js/bootstrap-datepicker.js HTTP/1.1" 404 1110
127.0.0.1 - - [25/Oct/2015:21:42:00 +0800] "GET /MRTFAREPROJECT/dist/demo/assets/js/jquery.mousewheel.min.js HTTP/1.1" 404 1112
127.0.0.1 - - [25/Oct/2015:21:42:00 +0800] "GET /MRTFAREPROJECT/dist/demo/assets/js/holder.js HTTP/1.1" 404 1082
127.0.0.1 - - [25/Oct/2015:21:42:00 +0800] "GET /MRTFAREPROJECT/dist/demo/assets/js/jquery.touchSwipe.min.js HTTP/1.1" 404 1112
127.0.0.1 - - [25/Oct/2015:21:42:00 +0800] "GET /MRTFAREPROJECT/dist/demo/assets/js/demo.js HTTP/1.1" 404 1078
127.0.0.1 - - [25/Oct/2015:21:42:24 +0800] "GET /MRTFAREPROJECT/dist/demo/wizard.html HTTP/1.1" 200 10036
127.0.0.1 - - [25/Oct/2015:21:42:24 +0800] "GET /MRTFAREPROJECT/dist/demo/assets/css/bootmetro.css HTTP/1.1" 404 1092
127.0.0.1 - - [25/Oct/2015:21:42:24 +0800] "GET /MRTFAREPROJECT/dist/demo/assets/js/modernizr-2.6.2.min.js HTTP/1.1" 404 1108
